"Rk","Player","Age","Team","Pos","GP","G","A","PTS","+/-","PIM","EVG","PPG","SHG","GWG","EVA","PPA","SHA","SOG","SPCT","TSA","TOI","ATOI","FOW","FOL","FO%","BLK","HIT","TAKE","GIVE","Primary Key"
544,Casey Cizikas,33,NYI,C,42,4,1,5,-12,8,4,0,0,1,1,0,0,38,10.0,74,529.2,12.6,157,126,55.5,32,91,12,19,cizikca01
545,Isaiah George,20,NYI,D,25,1,4,5,0,4,1,0,0,1,4,0,0,19,5.0,58,415.82,16.63,0,0,,30,9,5,19,georgis01
546,Carl Grundstrom,27,SJS,RW,31,1,4,5,-5,12,1,0,0,0,4,0,0,41,2.0,71,279.95,9.03,1,3,25.0,8,88,2,24,grundca01
547,Nicolas Hague,26,VEG,D,32,3,2,5,0,15,3,0,0,1,2,0,0,37,8.0,75,516.92,16.15,0,0,,36,40,8,30,hagueni01
548,Drew Helleson,23,ANA,D,20,2,3,5,-2,25,2,0,0,0,3,0,0,18,11.0,54,316.28,15.82,0,0,,27,27,7,12,helledr01
549,Justin Holl,33,DET,D,34,1,4,5,-2,10,1,0,0,0,4,0,0,15,6.0,49,520.45,15.3,0,0,,40,19,3,41,hollju01
550,Vladislav Kolyachonok,23,UTA,D,23,2,3,5,-7,2,2,0,0,1,3,0,0,12,16.0,37,283.68,12.33,0,0,,19,14,4,23,kolyavl01
551,Philipp Kurashev,25,CHI,C,31,3,2,5,-28,12,2,1,0,1,2,0,0,35,8.0,72,467.65,15.08,89,93,48.9,12,18,11,20,kurasph01
552,Nils Lundkvist,24,DAL,D,34,0,5,5,5,16,0,0,0,0,5,0,0,46,0.0,133,510.53,15.02,0,0,,32,16,5,25,lundkni01
553,Kyle MacLean,25,NYI,F,42,2,3,5,-8,10,2,0,0,0,3,0,0,32,6.0,57,416.87,9.93,125,136,47.9,17,50,7,16,macleky01
554,Sam Malinski,26,COL,D,44,1,4,5,-1,6,1,0,0,0,4,0,0,63,1.0,160,695.95,15.82,0,0,,62,23,13,41,malinsa01
555,Victor Mancini,22,NYR,D,15,1,4,5,-3,2,1,0,0,0,4,0,0,20,5.0,35,226.37,15.08,0,0,,20,14,1,20,mancivi01
556,Alec Martinez,37,CHI,D,17,1,4,5,-9,0,1,0,0,0,3,1,0,17,5.0,55,335.22,19.72,0,0,,42,7,5,18,martial01
557,Michael McCarron,29,NSH,RW,34,2,3,5,-15,41,2,0,0,0,3,0,0,30,6.0,66,438.5,12.9,187,167,52.8,23,67,5,15,mccarmi01
558,Jacob Moverare,26,LAK,D,23,1,4,5,6,4,1,0,0,0,4,0,0,18,5.0,44,279.83,12.17,0,0,,29,21,4,10,moverja01
559,Tomas Nosek,32,FLA,C,32,1,4,5,5,6,0,1,0,0,3,0,1,27,3.0,59,299.9,9.37,126,133,48.6,19,36,4,10,nosekto01
